Time (s),System Output,ControllerOutput
2.03,0.200045,9.85499
2.04,0.200089,9.85502
2.05,0.200114,9.85505
2.06,0.200128,9.85508
2.07,0.200135,9.85511
2.08,0.200165,9.85514
2.09,0.200181,9.85517
2.1,0.200188,9.8552
2.11,0.200191,9.85523
2.12,0.200191,9.85526
2.13,0.200189,9.85529
2.14,0.200186,9.85532
2.15,0.200182,9.85536
2.16,0.200177,9.85539
2.17,0.200173,9.85542
2.18,0.200168,9.85545
2.19,0.200164,9.85548
2.2,0.200159,9.85551
2.21,0.200154,9.85554
2.22,0.200149,9.85557
2.23,0.200144,9.8556
2.24,0.200139,9.85563
2.25,0.200135,9.85566
2.26,0.20013,9.85569
2.27,0.200125,9.85572
2.28,0.200092,9.85575
2.29,0.200071,9.85578
2.3,0.200057,9.85581
2.31,0.200047,9.85584
2.32,0.200039,9.85587
2.33,0.200033,9.8559
2.34,0.2,9.85593
2.35,0.199979,9.85596
2.36,0.199965,9.85598
2.37,0.199955,9.85601
2.38,0.199948,9.85604
2.39,0.199943,9.85607
2.4,0.199938,9.8561
2.41,0.199935,9.85613
2.42,0.199903,9.85616
2.43,0.199884,9.85618
2.44,0.199871,9.85621
2.45,0.199863,9.85624
2.46,0.199857,9.85627
2.47,0.199852,9.85629
2.48,0.199849,9.85632
2.49,0.199846,9.85635
2.5,0.199843,9.85638
2.51,0.19984,9.8564
2.52,0.19981,9.85643
2.53,0.199792,9.85646
2.54,0.19978,9.85648
2.55,0.199773,9.85651
2.56,0.199768,9.85654
2.57,0.199764,9.85656
2.58,0.199762,9.85659
2.59,0.19976,9.85662
2.6,0.199758,9.85664
2.61,0.199756,9.85667
2.62,0.199755,9.8567
2.63,0.199753,9.85672
2.64,0.199752,9.85675
2.65,0.199751,9.85678
2.66,0.199749,9.8568
2.67,0.199748,9.85683
2.68,0.199747,9.85686
2.69,0.199718,9.85688
2.7,0.1997,9.85691
2.71,0.199689,9.85694
2.72,0.199683,9.85696
2.73,0.199651,9.85699
2.74,0.199604,9.85701
2.75,0.199577,9.85703
2.76,0.199561,9.85706
2.77,0.199552,9.85708
2.78,0.19952,9.8571
2.79,0.199501,9.85713
2.8,0.199491,9.85715
2.81,0.199486,9.85717
2.82,0.199484,9.8572
2.83,0.199484,9.85722
2.84,0.199484,9.85724
2.85,0.199486,9.85726
2.86,0.199488,9.85729
2.87,0.19949,9.85731
2.88,0.199492,9.85733
2.89,0.199494,9.85736
2.9,0.199496,9.85738
2.91,0.199498,9.8574
2.92,0.199501,9.85742
2.93,0.199503,9.85745
2.94,0.199505,9.85747
2.95,0.199508,9.85749
2.96,0.19951,9.85752
2.97,0.199512,9.85754
2.98,0.199515,9.85756
2.99,0.199517,9.85758
3,0.199519,9.85761
3.01,0.199522,9.85763
3.02,0.199524,9.85765
3.03,0.199526,9.85768
3.04,0.199528,9.8577
3.05,0.199531,9.85772
3.06,0.199533,9.85775
3.07,0.199535,9.85777
3.08,0.199538,9.85779
3.09,0.19954,9.85781
3.1,0.199542,9.85784
3.11,0.199544,9.85786
3.12,0.199547,9.85788
3.13,0.199549,9.85791
3.14,0.199551,9.85793
3.15,0.199553,9.85795
3.16,0.199556,9.85797
3.17,0.199558,9.858
3.18,0.199588,9.85802
3.19,0.199606,9.85804
3.2,0.199618,9.85807
3.21,0.199625,9.85809
3.22,0.19963,9.85812
3.23,0.199634,9.85814
3.24,0.199636,9.85816
3.25,0.199638,9.85819
3.26,0.19964,9.85821
3.27,0.199642,9.85824
3.28,0.199643,9.85826
3.29,0.199645,9.85828
3.3,0.199646,9.85831
3.31,0.199647,9.85833
3.32,0.199648,9.85835
3.33,0.19965,9.85838
3.34,0.199651,9.8584
3.35,0.199652,9.85843
3.36,0.199681,9.85845
3.37,0.199698,9.85848
3.38,0.199709,9.8585
3.39,0.199715,9.85853
3.4,0.199719,9.85855
3.41,0.199722,9.85857
3.42,0.199723,9.8586
3.43,0.199724,9.85862
3.44,0.199725,9.85865
3.45,0.199726,9.85867
3.46,0.199726,9.8587
3.47,0.199726,9.85872
3.48,0.199727,9.85875
3.49,0.199727,9.85877
3.5,0.199727,9.8588
3.51,0.199727,9.85882
3.52,0.199728,9.85885
3.53,0.199728,9.85887
3.54,0.199728,9.8589
3.55,0.199728,9.85892
3.56,0.199728,9.85895
3.57,0.199729,9.85897
3.58,0.199729,9.859
3.59,0.199729,9.85902
3.6,0.199729,9.85905
3.61,0.199729,9.85907
3.62,0.199729,9.8591
3.63,0.19973,9.85912
3.64,0.19973,9.85915
3.65,0.19973,9.85917
3.66,0.19973,9.85919
3.67,0.19973,9.85922
3.68,0.19973,9.85924
3.69,0.199731,9.85927
3.7,0.199731,9.85929
3.71,0.199731,9.85932
3.72,0.199731,9.85934
3.73,0.199731,9.85937
3.74,0.199731,9.85939
3.75,0.199731,9.85942
3.76,0.199731,9.85944
3.77,0.199731,9.85947
3.78,0.199731,9.85949
3.79,0.199732,9.85952
3.8,0.199732,9.85954
3.81,0.199732,9.85957
3.82,0.199732,9.85959
3.83,0.199732,9.85962
3.84,0.199732,9.85964
3.85,0.199732,9.85967
3.86,0.199732,9.85969
3.87,0.199732,9.85972
3.88,0.199732,9.85974
3.89,0.199732,9.85977
3.9,0.199732,9.85979
3.91,0.199732,9.85981
3.92,0.199732,9.85984
3.93,0.199732,9.85986
3.94,0.199732,9.85989
3.95,0.199732,9.85991
3.96,0.199732,9.85994
3.97,0.199732,9.85996
3.98,0.199732,9.85999
3.99,0.199732,9.86001
4,0.199732,9.86004
4.01,0.199732,9.86006
4.02,0.199732,9.86009
4.03,0.199732,9.86011
4.04,0.199732,9.86014
4.05,0.199732,9.86016
4.06,0.199732,9.86019
4.07,0.199732,9.86021
4.08,0.199732,9.86024
4.09,0.199732,9.86026
4.1,0.199732,9.86029
