Time (s),System Output,ControllerOutput
10.02,0.199804,9.87399
10.03,0.199803,9.87401
10.04,0.199803,9.87403
10.05,0.199802,9.87405
10.06,0.199801,9.87408
10.07,0.199801,9.8741
10.08,0.1998,9.87412
10.09,0.1998,9.87415
10.1,0.199799,9.87417
10.11,0.199798,9.87419
10.12,0.199798,9.87422
10.13,0.199797,9.87424
10.14,0.199797,9.87426
10.15,0.199796,9.87428
10.16,0.199795,9.87431
10.17,0.199795,9.87433
10.18,0.199794,9.87435
10.19,0.199794,9.87438
10.2,0.199793,9.8744
10.21,0.199792,9.87442
10.22,0.199792,9.87444
10.23,0.199791,9.87447
10.24,0.19979,9.87449
10.25,0.19979,9.87451
10.26,0.199789,9.87454
10.27,0.199788,9.87456
10.28,0.199788,9.87458
10.29,0.199787,9.8746
10.3,0.199786,9.87463
10.31,0.199786,9.87465
10.32,0.199785,9.87467
10.33,0.199784,9.8747
10.34,0.199784,9.87472
10.35,0.199783,9.87474
10.36,0.199782,9.87476
10.37,0.199782,9.87479
10.38,0.199781,9.87481
10.39,0.19978,9.87483
10.4,0.199779,9.87486
10.41,0.199779,9.87488
10.42,0.199778,9.8749
10.43,0.199777,9.87492
10.44,0.199777,9.87495
10.45,0.199776,9.87497
10.46,0.199775,9.87499
10.47,0.199774,9.87502
10.48,0.199774,9.87504
10.49,0.199773,9.87506
10.5,0.199772,9.87508
10.51,0.199771,9.87511
10.52,0.199771,9.87513
10.53,0.19977,9.87515
10.54,0.199769,9.87518
10.55,0.199768,9.8752
10.56,0.199768,9.87522
10.57,0.199767,9.87525
10.58,0.199766,9.87527
10.59,0.199765,9.87529
10.6,0.199764,9.87531
10.61,0.199764,9.87534
10.62,0.199763,9.87536
10.63,0.199762,9.87538
10.64,0.199761,9.87541
10.65,0.19976,9.87543
10.66,0.19976,9.87545
10.67,0.199759,9.87547
10.68,0.199758,9.8755
10.69,0.199757,9.87552
10.7,0.199756,9.87554
10.71,0.199755,9.87557
10.72,0.199755,9.87559
10.73,0.199754,9.87561
10.74,0.199753,9.87563
10.75,0.199752,9.87566
10.76,0.199751,9.87568
10.77,0.19975,9.8757
10.78,0.199749,9.87573
10.79,0.199749,9.87575
10.8,0.199748,9.87577
10.81,0.199747,9.87579
10.82,0.199718,9.87582
10.83,0.199701,9.87584
10.84,0.199691,9.87586
10.85,0.199685,9.87588
10.86,0.199681,9.8759
10.87,0.199679,9.87593
10.88,0.199678,9.87595
10.89,0.199677,9.87597
10.9,0.199676,9.87599
10.91,0.199676,9.87601
10.92,0.199676,9.87604
10.93,0.199648,9.87606
10.94,0.199604,9.87608
10.95,0.199579,9.8761
10.96,0.199564,9.87612
10.97,0.199556,9.87614
10.98,0.199524,9.87616
10.99,0.199507,9.87617
11,0.199497,9.87619
11.01,0.199492,9.87621
11.02,0.199491,9.87623
11.03,0.199491,9.87625
11.04,0.199492,9.87627
11.05,0.199494,9.87629
11.06,0.199496,9.87631
11.07,0.199498,9.87633
11.08,0.199501,9.87635
11.09,0.199504,9.87637
11.1,0.199506,9.87638
11.11,0.199509,9.8764
11.12,0.199512,9.87642
11.13,0.199515,9.87644
11.14,0.199517,9.87646
11.15,0.19952,9.87648
11.16,0.199523,9.8765
11.17,0.199526,9.87652
11.18,0.199528,9.87654
11.19,0.199531,9.87656
11.2,0.199534,9.87658
11.21,0.199537,9.87659
11.22,0.199539,9.87661
11.23,0.199542,9.87663
11.24,0.199545,9.87665
11.25,0.199548,9.87667
11.26,0.19955,9.87669
11.27,0.199553,9.87671
11.28,0.199556,9.87673
11.29,0.199559,9.87675
11.3,0.199589,9.87677
11.31,0.199608,9.87679
11.32,0.19962,9.87681
11.33,0.199628,9.87683
11.34,0.199633,9.87685
11.35,0.199637,9.87687
11.36,0.199641,9.87689
11.37,0.199643,9.87691
11.38,0.199645,9.87693
11.39,0.199647,9.87695
11.4,0.199649,9.87697
11.41,0.199651,9.87699
11.42,0.199653,9.87701
11.43,0.199682,9.87703
11.44,0.1997,9.87705
11.45,0.199711,9.87707
11.46,0.199718,9.87709
11.47,0.199723,9.87711
11.48,0.199726,9.87713
11.49,0.199728,9.87715
11.5,0.19973,9.87718
11.51,0.199731,9.8772
11.52,0.199732,9.87722
11.53,0.199733,9.87724
11.54,0.199734,9.87726
11.55,0.199735,9.87728
11.56,0.199735,9.8773
11.57,0.199736,9.87732
11.58,0.199737,9.87734
11.59,0.199738,9.87736
11.6,0.199738,9.87739
11.61,0.199739,9.87741
11.62,0.19974,9.87743
11.63,0.19974,9.87745
11.64,0.199741,9.87747
11.65,0.199742,9.87749
11.66,0.199743,9.87751
11.67,0.199743,9.87753
11.68,0.199744,9.87755
11.69,0.199745,9.87757
11.7,0.199745,9.87759
11.71,0.199746,9.87762
11.72,0.199747,9.87764
11.73,0.199747,9.87766
11.74,0.199776,9.87768
11.75,0.199793,9.8777
11.76,0.199803,9.87772
11.77,0.199809,9.87775
11.78,0.199812,9.87777
11.79,0.199814,9.87779
11.8,0.199815,9.87781
11.81,0.199816,9.87783
11.82,0.199816,9.87786
11.83,0.199816,9.87788
11.84,0.199816,9.8779
11.85,0.199815,9.87792
11.86,0.199815,9.87794
11.87,0.199815,9.87796
11.88,0.199815,9.87799
11.89,0.199814,9.87801
11.9,0.199814,9.87803
11.91,0.199814,9.87805
11.92,0.199813,9.87807
11.93,0.199813,9.8781
11.94,0.199813,9.87812
11.95,0.199812,9.87814
11.96,0.199812,9.87816
11.97,0.199812,9.87818
11.98,0.199811,9.87821
11.99,0.199811,9.87823
12,0.199811,9.87825
12.01,0.19981,9.87827
12.02,0.19981,9.87829
12.03,0.199809,9.87832
12.04,0.199809,9.87834
12.05,0.199809,9.87836
12.06,0.199808,9.87838
12.07,0.199808,9.8784
12.08,0.199807,9.87843
12.09,0.199807,9.87845
12.1,0.199807,9.87847
12.11,0.199806,9.87849
12.12,0.199806,9.87851
12.13,0.199805,9.87854
12.14,0.199805,9.87856
12.15,0.199805,9.87858
12.16,0.199804,9.8786
12.17,0.199804,9.87862
12.18,0.199803,9.87864
12.19,0.199803,9.87867
12.2,0.199802,9.87869
12.21,0.199802,9.87871
12.22,0.199802,9.87873
12.23,0.199801,9.87875
12.24,0.199801,9.87878
12.25,0.1998,9.8788
12.26,0.1998,9.87882
12.27,0.199799,9.87884
12.28,0.199799,9.87886
12.29,0.199798,9.87889
12.3,0.199798,9.87891
12.31,0.199797,9.87893
12.32,0.199797,9.87895
12.33,0.199796,9.87897
12.34,0.199796,9.879
12.35,0.199795,9.87902
12.36,0.199795,9.87904
12.37,0.199794,9.87906
12.38,0.199794,9.87908
12.39,0.199793,9.87911
12.4,0.199793,9.87913
12.41,0.199792,9.87915
12.42,0.199792,9.87917
12.43,0.199791,9.87919
12.44,0.199791,9.87922
12.45,0.19979,9.87924
12.46,0.19979,9.87926
12.47,0.199789,9.87928
12.48,0.199789,9.8793
12.49,0.199788,9.87932
12.5,0.199787,9.87935
12.51,0.199787,9.87937
12.52,0.199786,9.87939
12.53,0.199786,9.87941
12.54,0.199785,9.87943
12.55,0.199785,9.87946
12.56,0.199784,9.87948
12.57,0.199783,9.8795
12.58,0.199783,9.87952
12.59,0.199782,9.87954
12.6,0.199782,9.87957
12.61,0.199781,9.87959
12.62,0.19978,9.87961
12.63,0.19978,9.87963
12.64,0.199779,9.87965
12.65,0.199779,9.87968
12.66,0.199778,9.8797
12.67,0.199777,9.87972
12.68,0.199777,9.87974
12.69,0.199776,9.87976
12.7,0.199776,9.87979
12.71,0.199775,9.87981
12.72,0.199774,9.87983
12.73,0.199774,9.87985
12.74,0.199773,9.87987
12.75,0.199772,9.8799
12.76,0.199772,9.87992
12.77,0.199771,9.87994
12.78,0.19977,9.87996
12.79,0.19977,9.87998
12.8,0.199769,9.88
12.81,0.199768,9.88003
12.82,0.199768,9.88005
12.83,0.199767,9.88007
12.84,0.199766,9.88009
12.85,0.199766,9.88011
12.86,0.199765,9.88014
12.87,0.199764,9.88016
12.88,0.199764,9.88018
12.89,0.199763,9.8802
12.9,0.199762,9.88022
12.91,0.199761,9.88025
12.92,0.199761,9.88027
12.93,0.19976,9.88029
12.94,0.199759,9.88031
12.95,0.199759,9.88033
12.96,0.199758,9.88036
12.97,0.199757,9.88038
12.98,0.199756,9.8804
12.99,0.199756,9.88042
13,0.199755,9.88044
13.01,0.199754,9.88047
13.02,0.199753,9.88049
13.03,0.199753,9.88051
13.04,0.199752,9.88053
13.05,0.199751,9.88055
13.06,0.19975,9.88058
13.07,0.199749,9.8806
13.08,0.199749,9.88062
13.09,0.199748,9.88064
13.1,0.199747,9.88066
13.11,0.199746,9.88068
13.12,0.199718,9.88071
13.13,0.199701,9.88073
13.14,0.199691,9.88075
13.15,0.199685,9.88077
13.16,0.199681,9.88079
13.17,0.199679,9.88081
13.18,0.19965,9.88083
13.19,0.199606,9.88085
13.2,0.19958,9.88087
13.21,0.199565,9.88089
13.22,0.199557,9.88091
13.23,0.199553,9.88093
13.24,0.199523,9.88094
13.25,0.199507,9.88096
13.26,0.199498,9.88098
13.27,0.199494,9.881
13.28,0.199493,9.88102
13.29,0.199493,9.88103
13.3,0.199495,9.88105
13.31,0.199497,9.88107
13.32,0.199499,9.88109
13.33,0.199502,9.88111
13.34,0.199505,9.88113
13.35,0.199507,9.88114
13.36,0.19951,9.88116
13.37,0.199513,9.88118
13.38,0.199516,9.8812
13.39,0.199519,9.88122
13.4,0.199522,9.88123
13.41,0.199524,9.88125
13.42,0.199527,9.88127
13.43,0.19953,9.88129
13.44,0.199533,9.88131
13.45,0.199536,9.88132
13.46,0.199539,9.88134
13.47,0.199542,9.88136
13.48,0.199545,9.88138
13.49,0.199547,9.8814
13.5,0.19955,9.88142
13.51,0.199553,9.88143
13.52,0.199556,9.88145
13.53,0.199559,9.88147
13.54,0.199589,9.88149
13.55,0.199608,9.88151
13.56,0.199621,9.88153
13.57,0.199629,9.88155
13.58,0.199634,9.88157
13.59,0.199638,9.88158
13.6,0.199642,9.8816
13.61,0.199644,9.88162
13.62,0.199647,9.88164
13.63,0.199649,9.88166
13.64,0.199651,9.88168
13.65,0.199653,9.8817
13.66,0.199682,9.88172
13.67,0.1997,9.88174
13.68,0.199712,9.88176
13.69,0.199719,9.88178
13.7,0.199723,9.8818
13.71,0.199726,9.88182
13.72,0.199729,9.88184
13.73,0.19973,9.88186
13.74,0.199732,9.88188
13.75,0.199733,9.8819
13.76,0.199734,9.88192
13.77,0.199735,9.88194
13.78,0.199736,9.88196
13.79,0.199737,9.88198
13.8,0.199738,9.882
13.81,0.199739,9.88202
13.82,0.199739,9.88204
13.83,0.19974,9.88206
13.84,0.199741,9.88208
13.85,0.199742,9.8821
13.86,0.199743,9.88212
13.87,0.199744,9.88214
13.88,0.199745,9.88216
13.89,0.199745,9.88218
13.9,0.199746,9.8822
13.91,0.199747,9.88222
13.92,0.199748,9.88224
13.93,0.199776,9.88226
13.94,0.199793,9.88228
13.95,0.199804,9.8823
13.96,0.19981,9.88232
13.97,0.199813,9.88234
13.98,0.199815,9.88237
13.99,0.199816,9.88239
14,0.199817,9.88241
